2012/03/02 16:01:09 -0800 214 | 1330732869 | 39168 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/02 16:01:09 -0800 270 | 1330732869 | 39168 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 10:47:02 -0800 425 | 1331146022 | 63410 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 10:47:02 -0800 607 | 1331146022 | 63410 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 10:47:29 -0800 312 | 1331146049 | 17042 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 10:47:29 -0800 379 | 1331146049 | 17042 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 10:49:20 -0800 018 | 1331146160 | 17503 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 10:49:20 -0800 131 | 1331146160 | 17503 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 11:39:17 -0800 645 | 1331149157 | 84298 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 11:39:17 -0800 699 | 1331149157 | 84298 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 11:49:44 -0800 533 | 1331149784 | 88539 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 391 Admin request but invalid credentials: 7
2012/03/07 11:50:43 -0800 800 | 1331149843 | 83559 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 391 Admin request but invalid credentials: 7
2012/03/07 11:50:51 -0800 537 | 1331149851 | 40789 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 11:50:51 -0800 580 | 1331149851 | 40789 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 12:25:57 -0800 578 | 1331151957 | 97704 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 12:25:57 -0800 676 | 1331151957 | 97704 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/07 12:54:49 -0800 996 | 1331153689 | 15760 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 391 Admin request but invalid credentials: 7
2012/03/10 05:41:22 -0800 429 | 1331386882 | 56416 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/03/10 05:41:22 -0800 506 | 1331386882 | 56416 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1440 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/08/15 09:06:14 -0700 831 | 1345046774 | 22923 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/08/15 09:06:14 -0700 871 | 1345046774 | 22923 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/08/15 09:06:32 -0700 397 | 1345046792 | 23162 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2012/08/15 09:06:39 -0700 207 | 1345046799 | 41120 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2012/08/15 09:07:22 -0700 734 | 1345046842 | 96203 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2012/08/15 09:07:33 -0700 970 | 1345046853 | 23477 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2012/08/15 09:07:48 -0700 259 | 1345046868 | 42240 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2012/08/19 16:36:42 -0700 407 | 1345419402 | 46997 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/08/19 16:36:42 -0700 468 | 1345419402 | 46997 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/08/19 16:50:39 -0700 196 | 1345420239 | 27897 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/08/19 16:50:49 -0700 311 | 1345420249 | 52153 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/Controller.inc Function: () line: 236  Controller:seriousError code=404 msg=404 Page not found at: File:/home/y/share/pear/Yahoo/si30d/framework/Controller.inc line: 224
2012/08/20 17:19:40 -0700 664 | 1345508380 | 66201 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2012/09/06 07:07:01 -0700 964 | 1346940421 | 67419 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 7
2012/09/06 07:07:07 -0700 112 | 1346940427 | 22505 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2012/09/06 07:07:07 -0700 144 | 1346940427 | 22505 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/09/06 07:07:07 -0700 200 | 1346940427 | 22531 | GenApps | WARN |  | File: /home/y/share/htdocs/si30d/GenApps/index.php Function: () line: 399 Admin request but invalid credentials: 2
2012/09/06 07:07:07 -0700 434 | 1346940427 | 22505 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/09/06 07:07:07 -0700 578 | 1346940427 | 22505 | GenApps | FATAL |  | File: /home/y/share/pear/Yahoo/si30d/framework/connector/fileConnector.class.inc Function: () line: 696 fileConnector::validateResource@97 - Failed stat path /z/dr/caninecomplements/us1/yahoo_site_admin/cache/collection/68cb2b27083ed8275030d54b26d24992.cathyscaninecomplements.com.22505 for resource cacheResource: fileConnector
2012/09/06 07:07:08 -0700 103 | 1346940428 | 57734 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
2012/09/06 07:07:08 -0700 149 | 1346940428 | 57734 | GenApps | WARN |  | File: /home/y/share/pear/Yahoo/si30d/framework/util/WHEnvironment.inc Function: () line: 1458 getMap: for caninecomplements. Ignoring unexpected line:%%HOME%%/admin home pageGuid.home.001 1
